"ImportFilGuid"	"DelningDataGuid"	"Ruta"	"TypRuta"	"Provyta"	"DelYta"	"Avst1"	"Rikt1"	"Avst2"	"Rikt2"	"Avst3"	"Rikt3"	"Avst4"	"Rikt4"	"Avst5"	"Rikt5"	"Avst6"	"Rikt6"	"Avst7"	"Rikt7"	"Avst8"	"Rikt8"	"TIDSPARAD"	"DelTagNr"	"Deleted"	"TStamp"	"VERDATUM"	"FullSokvag"	"Filnamn"	"InsatsAr"	"SenastAndrad"	"ErrorLoading2"	"ErrorCode2"	"ErrorDescription2"	"LoadingEvent"	"ArsvisSokvagGuid"
"16F862CE-E458-4B4D-86C4-BD50B3145F71"	"171BAD25-3DB2-4A9E-BD3C-AB105953148F"	4	1	5	2	100	106	100	258	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20110724010048	NA	NA	NA	NA	"\\terra.srh.slu.se\NilsFileTransfer_BaseData_TeamRoot_11\Lag79\2011-07-23\025\Database\BasNils\Red\025.mdb"	NA	2011	2011-07-20 20:26:00	NA	NA	NA	"17743532-9AC0-4B1B-B6EC-3BBC95782F55"	"06DE1F00-D8B9-4741-B927-BE1F867B906E"
"16F862CE-E458-4B4D-86C4-BD50B3145F71"	"B79750BA-63FC-44E3-84ED-1E24A0E01E3E"	4	1	8	1	100	240	33	228	59	178	100	79	-2	-1	-1	-1	-1	-1	-1	-1	20110724010048	NA	NA	NA	NA	"\\terra.srh.slu.se\NilsFileTransfer_BaseData_TeamRoot_11\Lag79\2011-07-23\025\Database\BasNils\Red\025.mdb"	NA	2011	2011-07-20 20:26:00	NA	NA	NA	"17743532-9AC0-4B1B-B6EC-3BBC95782F55"	"06DE1F00-D8B9-4741-B927-BE1F867B906E"
"F0C394E0-806A-414B-9B73-D19700FA49BE"	"112EC2DD-0608-4554-91F3-124CBC3582D6"	4	1	9	1	100	232	26	315	100	122	-2	-1	-2	-1	-2	-1	-2	-1	-2	-1	20110620160140	NA	NA	NA	20110415	"\\terra.srh.slu.se\NilsFileTransfer_BaseData_TeamRoot_11\Lag79\2011-07-17\018\Database\BasNils\Red\018.mdb"	NA	2011	2011-07-16 20:30:00	NA	NA	NA	"7455DCD6-A485-484F-9B2B-82C79DAA5AD2"	"06DE1F00-D8B9-4741-B927-BE1F867B906E"
"72F0F96E-0840-4B09-8220-1C382B648B80"	"E450C7CF-05E8-446C-8AC3-0074C2B59F5C"	5	1	3	1	100	260	100	90	-1	-1	-1	-1	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"\\terra.srh.slu.se\NilsFileTransfer_BaseData_TeamRoot_09\Lag76\2009-06-04\Ruta115\NILS\Databas\Röd\115.mdb"	NA	2009	2009-06-04 19:12:00	NA	NA	NA	"0D963FBB-2E81-4657-8616-A250E848CEF4"	"27E00B2B-E80A-4D59-9EEA-0280F899B5F7"
"7DD4E5BB-E1AF-42B1-AE11-773694275224"	"AA79A2DD-8698-48B4-BD2A-0AFBCD697131"	5	1	11	1	100	355	65	66	100	66	-1	-1	-1	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Correction made by: AD\srh-xkaw"	NA	2009	2012-04-11 15:57:00	NA	NA	NA	NA	"528DF55D-97EA-46F8-9758-E5602074ADD5"
"CD15154C-D8EA-4B6A-81BE-964F43B702B6"	"834340EF-8CB1-4EB7-AEAF-3CF1BEFE5FC6"	8	1	1	1	100	233	000	360	064	322	100	047	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"\\terra.srh.slu.se\2_FALT\Fältdata\Indata\basNILS\Allegro_databaser_från_fält_2003-2009\Säsong_2008\Lag 72\Omrade416\Databas\Röd\Nilsdb.mdb"	NA	2008	2008-06-10 17:57:00	NA	NA	NA	"F2A0731B-CA04-4D2C-AB83-AF7F90A6BFA4"	"99308A9E-88E4-4FCA-BB34-99292684F941"
"CD15154C-D8EA-4B6A-81BE-964F43B702B6"	"32378983-FEE0-44B1-A0F0-5956CC42D650"	8	1	6	2	100	177	100	20	-2	-1	-2	-1	-2	-1	-2	-1	-2	-1	-2	-1	20080609140720	NA	NA	NA	NA	"\\terra.srh.slu.se\2_FALT\Fältdata\Indata\basNILS\Allegro_databaser_från_fält_2003-2009\Säsong_2008\Lag 72\Omrade416\Databas\Röd\Nilsdb.mdb"	NA	2008	2008-06-10 17:57:00	NA	NA	NA	"F2A0731B-CA04-4D2C-AB83-AF7F90A6BFA4"	"99308A9E-88E4-4FCA-BB34-99292684F941"
"CD15154C-D8EA-4B6A-81BE-964F43B702B6"	"97C59106-0BB8-448E-BD49-5027CDA8B4ED"	8	1	8	1	100	192	100	15	-2	-1	-2	-1	-2	-1	-2	-1	-2	-1	-2	-1	20080610103013	NA	NA	NA	NA	"\\terra.srh.slu.se\2_FALT\Fältdata\Indata\basNILS\Allegro_databaser_från_fält_2003-2009\Säsong_2008\Lag 72\Omrade416\Databas\Röd\Nilsdb.mdb"	NA	2008	2008-06-10 17:57:00	NA	NA	NA	"F2A0731B-CA04-4D2C-AB83-AF7F90A6BFA4"	"99308A9E-88E4-4FCA-BB34-99292684F941"
"CD15154C-D8EA-4B6A-81BE-964F43B702B6"	"DB70B341-0041-4522-B940-C53EC3585AB2"	8	1	8	3	100	346	100	215	NA	NA	NA	NA	-2	-1	-2	-1	-2	-1	-2	-1	20080610095130	NA	NA	NA	NA	"\\terra.srh.slu.se\2_FALT\Fältdata\Indata\basNILS\Allegro_databaser_från_fält_2003-2009\Säsong_2008\Lag 72\Omrade416\Databas\Röd\Nilsdb.mdb"	NA	2008	2008-06-10 17:57:00	NA	NA	NA	"F2A0731B-CA04-4D2C-AB83-AF7F90A6BFA4"	"99308A9E-88E4-4FCA-BB34-99292684F941"
"CD15154C-D8EA-4B6A-81BE-964F43B702B6"	"834340EF-8CB1-4EB7-AEAF-3CF1BEFE5FC6"	8	1	12	1	100	233	000	360	064	322	100	047	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"\\terra.srh.slu.se\2_FALT\Fältdata\Indata\basNILS\Allegro_databaser_från_fält_2003-2009\Säsong_2008\Lag 72\Omrade416\Databas\Röd\Nilsdb.mdb"	NA	2008	2008-06-10 17:57:00	NA	NA	NA	"F2A0731B-CA04-4D2C-AB83-AF7F90A6BFA4"	"99308A9E-88E4-4FCA-BB34-99292684F941"
