Ruta,TypRuta,Provyta,Delyta,Avst1,Rikt1,Avst2,Rikt2,Avst3,Rikt3,Avst4,Rikt4,Avst5,Rikt5,Avst6,Rikt6,Avst7,Rikt7,Avst8,Rikt8
1,1,70,2,100,150,100,233,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
1,1,83,1,100,196,100,95,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
2,1,52,2,100,5,100,206,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
2,1,61,1,100,250,84,257,100,291,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
2,1,62,2,100,348,100,240,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
3,1,62,1,100,215,100,112,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,62,1,100,215,100,112,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,5,2,100,106,100,258,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,5,2,100,106,100,258,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,8,1,100,240,33,228,59,178,100,79,-2,-1,-2,-1,-2,-1,-2,-1
4,1,8,1,100,240,33,228,59,178,100,79,-2,-1,-1,-1,-1,-1,-1,-1
4,1,9,1,100,232,26,315,100,122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,9,1,100,232,26,315,100,122,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,51,1,100,251,41,239,45,134,100,135,-2,-1,-2,-1,-2,-1,-2,-1
4,1,51,1,100,251,41,239,45,134,100,135,-2,-1,-1,-1,-1,-1,-1,-1
4,1,53,2,100,132,29,169,27,282,82,273,100,252,-2,-1,-1,-1,-1,-1
4,1,53,2,100,132,29,169,27,282,82,273,100,252,-2,-1,-2,-1,-2,-1
4,1,55,1,100,305,20,328,40,134,100,157,-2,-1,-2,-1,-2,-1,-2,-1
4,1,55,1,100,305,20,328,40,134,100,157,-2,-1,-1,-1,-1,-1,-1,-1
4,1,55,2,100,305,20,328,40,134,100,157,100,173,34,263,100,284,-2,-1
4,1,55,2,100,305,20,328,40,134,100,157,100,173,34,263,100,284,-2,-1
4,1,60,1,100,317,35,1,23,208,100,152,-2,-1,-1,-1,-1,-1,-1,-1
4,1,60,1,100,317,35,1,23,208,100,152,-2,-1,-2,-1,-2,-1,-2,-1
4,1,60,3,100,94,35,1,100,317,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,60,3,100,94,35,1,100,317,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,74,1,100,316,43,211,100,161,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,75,1,100,346,100,134,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,75,1,100,346,100,134,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,80,2,100,159,9,262,100,349,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,80,2,100,159,9,262,100,349,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,82,2,100,159,54,122,100,100,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,82,2,100,159,54,122,100,100,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,245,1,100,247,100,134,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,285,2,100,48,75,54,48,299,100,254,-2,-1,-2,-1,-2,-1,-2,-1
4,1,293,1,100,280,34,336,100,176,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
4,1,313,2,100,345,52,5,63,192,100,214,-2,-1,-2,-1,-2,-1,-2,-1
4,1,324,1,100,13,18,344,100,167,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
5,1,3,1,100,260,100,90,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
5,1,3,1,100,260,100,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,11,1,100,355,65,66,100,66,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
5,1,11,1,100,355,65,66,100,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,57,1,100,185,31,176,25,139,100,54,-2,-1,-2,-1,-2,-1,-2,-1
5,1,61,2,100,164,100,270,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
5,1,62,2,100,118,35,22,100,310,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
5,1,63,2,100,165,54,172,54,215,24,342,74,95,100,50,-2,-1,-2,-1
5,1,80,1,100,59,100,175,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,5,1,100,213,100,85,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,5,1,100,213,100,85,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,50,1,100,211,100,293,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,50,1,100,211,100,293,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,53,1,100,212,100,100,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,53,1,100,212,100,100,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,60,1,100,250,100,132,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,60,1,100,250,100,132,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
6,1,229,1,100,21,100,152,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
8,1,1,1,100,268,40,266,22,220,32,180,100,131,-2,-1,-1,-1,-1,-1
8,1,1,1,100,268,40,266,22,220,32,180,100,131,-2,-1,-1,-1,-1,-1
8,1,6,1,100,219,100,289,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,6,1,100,219,100,289,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,9,2,100,323,100,225,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,9,2,100,323,100,225,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,63,2,100,163,100,45,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
8,1,63,3,100,340,100,220,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,1,2,100,173,69,179,100,125,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,1,2,100,173,69,179,100,125,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,1,3,100,125,69,179,100,342,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
