RUTA_ID,PROVYTA_ID,PY_NS_SW99,PY_EW_SW99,PY_NS_RT90,PY_EW_RT90,PY_Zvalue,WGS84N,WGS84E
262,1,6636738.59,657187.30,6637125.00,1612125.00,28.50,59.838368,17.804990
262,2,6636988.51,657184.26,6637375.00,1612125.00,25.75,59.840611,17.805125
262,3,6637238.42,657181.22,6637625.00,1612125.00,18.00,59.842853,17.805259
262,4,6637488.34,657178.18,6637875.00,1612125.00,17.00,59.845096,17.805394
262,5,6637491.38,657428.09,6637875.00,1612375.00,26.75,59.845028,17.809850
262,6,6637494.43,657678.01,6637875.00,1612625.00,33.50,59.844960,17.814307
262,7,6637497.47,657927.93,6637875.00,1612875.00,35.50,59.844892,17.818764
262,8,6637247.55,657930.97,6637625.00,1612875.00,29.75,59.842650,17.818628
262,9,6636997.63,657934.01,6637375.00,1612875.00,24.25,59.840407,17.818493
262,10,6636747.72,657937.06,6637125.00,1612875.00,25.50,59.838165,17.818358
262,11,6636744.67,657687.14,6637125.00,1612625.00,18.00,59.838233,17.813902
262,12,6636741.63,657437.22,6637125.00,1612375.00,25.00,59.838301,17.809446
262,13,6636991.55,657434.18,6637375.00,1612375.00,29.25,59.840543,17.809581
262,14,6637241.47,657431.14,6637625.00,1612375.00,22.75,59.842786,17.809716
262,15,6637244.51,657681.05,6637625.00,1612625.00,36.25,59.842718,17.814172
262,16,6636994.59,657684.10,6637375.00,1612625.00,24.00,59.840475,17.814037
416,1,7088163.76,776566.67,7087125.00,1737125.00,4.75,63.811186,20.621998
416,2,7088413.70,776563.50,7087375.00,1737125.00,7.00,63.811186,20.621998
416,3,7088663.64,776560.34,7087625.00,1737125.00,5.75,63.811186,20.621998
416,4,7088913.58,776557.18,7087875.00,1737125.00,6.00,63.811186,20.621998
416,5,7088916.75,776807.12,7087875.00,1737375.00,4.50,63.811186,20.621998
416,6,7088919.91,777057.06,7087875.00,1737625.00,3.25,63.811186,20.621998
416,7,7088923.07,777307.00,7087875.00,1737875.00,8.50,63.811186,20.621998
416,8,7088673.13,777310.17,7087625.00,1737875.00,7.50,63.811186,20.621998
416,9,7088423.19,777313.33,7087375.00,1737875.00,5.00,63.811186,20.621998
416,10,7088173.25,777316.49,7087125.00,1737875.00,7.50,63.811186,20.621998
416,11,7088170.08,777066.55,7087125.00,1737625.00,2.50,63.811186,20.621998
416,12,7088166.92,776816.61,7087125.00,1737375.00,3.50,63.811186,20.621998
416,13,7088416.86,776813.45,7087375.00,1737375.00,2.25,63.811186,20.621998
416,14,7088666.80,776810.28,7087625.00,1737375.00,3.50,63.811186,20.621998
416,15,7088669.97,777060.23,7087625.00,1737625.00,4.25,63.811186,20.621998
416,16,7088420.02,777063.39,7087375.00,1737625.00,3.50,63.811186,20.621998
1,1,6577634,669972,0,0,1,59.303302,17.98544
1,6,6577590,669806,0,0,1,59.302971,17.982484
1,7,6577892,670175,0,0,1,59.305532,17.9892
1,8,6577788,669943,0,0,1,59.304695,17.985054
2,2,6564231,517927,0,0,1,59.216762,15.314019
2,4,6564243,517736,0,0,1,59.216883,15.310682
2,1,6564258,517868,0,0,1,59.217006,15.312989 
2,3,6564204,517856,0,0,1,59.216528,15.31278
8,1,7088090,761410,0,0,1,63.822164,20.315416
8,2,7087976,761361,0,0,1,63.821184,20.314236
