RUTA_ID,PROVYTA_ID,PY_NS_SW99,PY_EW_SW99,PY_NS_RT90,PY_EW_RT90,PY_Zvalue,WGS84N,WGS84E
262,1,6636738.59,657187.3,6637125,1612125,28.5,59.838368,17.804990
262,2,6636988.51,657184.26,6637375,1612125,25.75,59.840611,17.805125
262,3,6637238.42,657181.22,6637625,1612125,18,59.842853,17.805259
262,4,6637488.34,657178.18,6637875,1612125,17,59.845096,17.805394
262,5,6637491.38,657428.09,6637875,1612375,26.75,59.845028,17.809850
262,6,6637494.43,657678.01,6637875,1612625,33.5,59.844960,17.814307
262,7,6637497.47,657927.93,6637875,1612875,35.5,59.844892,17.818764
262,8,6637247.55,657930.97,6637625,1612875,29.75,59.842650,17.818628
262,9,6636997.63,657934.01,6637375,1612875,24.25,59.840407,17.818493
262,10,6636747.72,657937.06,6637125,1612875,25.5,59.838165,17.818358
262,11,6636744.67,657687.14,6637125,1612625,18,59.838233,17.813902
262,12,6636741.63,657437.22,6637125,1612375,25,59.838301,17.809446
262,13,6636991.55,657434.18,6637375,1612375,29.25,59.840543,17.809581
262,14,6637241.47,657431.14,6637625,1612375,22.75,59.842786,17.809716
262,15,6637244.51,657681.05,6637625,1612625,36.25,59.842718,17.814172
262,16,6636994.59,657684.1,6637375,1612625,24,59.840475,17.814037
262,200,0,0,1610125,6635875,24,59.827695,17.768685
262,201,0,0,1612875,6635875,24,59.826955,17.817683
262,202,0,0,1614125,6635875,24,59.826613,17.839954
262,204,0,0,1614625,6635875,24,59.826475,17.848862
262,205,0,0,1610875,6636125,24,59.829737,17.782181
262,206,0,0,1612875,6636125,24,59.829197,17.817818
262,207,0,0,1611375,6636375,24,59.831846,17.791224
262,208,0,0,1612875,6636375,24,59.831440,17.817954
262,209,0,0,1613875,6636375,24,59.831166,17.835773
262,210,0,0,1614125,6636375,24,59.831098,17.840228
262,211,0,0,1611125,6636625,24,59.834156,17.786902
262,212,0,0,1612625,6636625,24,59.833751,17.813634
262,213,0,0,1613875,6636625,24,59.833409,17.835909
262,214,0,0,1611875,6636875,24,59.836196,17.800402
262,215,0,0,1613875,6636875,24,59.835652,17.836046
262,216,0,0,1610625,6637375,24,59.841017,17.778390
262,217,0,0,1612375,6637375,24,59.840546,17.809583
262,218,0,0,1614625,6637375,24,59.839930,17.849687
262,219,0,0,1610125,6637625,24,59.843393,17.769609
262,220,0,0,1612875,6637625,24,59.842653,17.818630
416,1,7088163.76,776566.67,7087125,1737125,4.75,63.811186,20.621998
416,2,7088413.7,776563.5,7087375,1737125,7,63.811186,20.621998
416,3,7088663.64,776560.34,7087625,1737125,5.75,63.811186,20.621998
416,4,7088913.58,776557.18,7087875,1737125,6,63.811186,20.621998
416,5,7088916.75,776807.12,7087875,1737375,4.5,63.811186,20.621998
416,6,7088919.91,777057.06,7087875,1737625,3.25,63.811186,20.621998
416,7,7088923.07,777307,7087875,1737875,8.5,63.811186,20.621998
416,8,7088673.13,777310.17,7087625,1737875,7.5,63.811186,20.621998
416,9,7088423.19,777313.33,7087375,1737875,5,63.811186,20.621998
416,10,7088173.25,777316.49,7087125,1737875,7.5,63.811186,20.621998
416,11,7088170.08,777066.55,7087125,1737625,2.5,63.811186,20.621998
416,12,7088166.92,776816.61,7087125,1737375,3.5,63.811186,20.621998
416,13,7088416.86,776813.45,7087375,1737375,2.25,63.811186,20.621998
416,14,7088666.8,776810.28,7087625,1737375,3.5,63.811186,20.621998
416,15,7088669.97,777060.23,7087625,1737625,4.25,63.811186,20.621998
416,16,7088420.02,777063.39,7087375,1737625,3.5,63.811186,20.621998
1,1,6577634,669972,0,0,1,59.303302,17.985440
1,6,6577590,669806,0,0,1,59.302971,17.982484
1,7,6577892,670175,0,0,1,59.305532,17.989200
1,8,6577788,669943,0,0,1,59.304695,17.985054
2,2,6564231,517927,0,0,1,59.216762,15.314019
2,4,6564243,517736,0,0,1,59.216883,15.310682
2,1,6564258,517868,0,0,1,59.217006,15.312989
2,3,6564204,517856,0,0,1,59.216528,15.312780
8,1,7088090,761410,0,0,1,63.822164,20.315416
8,2,7087976,761361,0,0,1,63.821184,20.314236
